DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2011-07,95.6,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2011-08,95.6,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2011-09,94.7,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2011-10,94.4,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2011-11,94.6,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2011-12,94.1,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2012-01,93.5,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2012-02,94.2,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2012-03,93.9,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2012-04,93.3,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2012-05,94.0,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2012-06,93.3,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2012-07,93.5,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2012-08,94.2,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2012-09,92.4,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2012-10,91.6,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2012-11,91.0,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2012-12,91.5,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2013-01,91.1,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2013-02,91.3,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2013-03,92.4,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2013-04,92.5,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2013-05,92.5,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2013-06,92.8,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2013-07,91.8,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2013-08,92.3,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2013-09,92.6,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2013-10,92.1,,
